Date,Open,High,Low,Close,Volume,Market Cap
"Feb 20, 2018",1543.27,1569.03,1414.35,1418.73,820947000.00,26199800000.00
"Feb 19, 2018",1483.34,1553.81,1483.34,1534.77,578906000.00,25179700000.00
"Feb 18, 2018",1552.1,1641.4,1428.49,1487.46,907873000.00,26344200000.00
"Feb 17, 2018",1548.48,1568.64,1517.14,1551.39,641719000.00,26280100000.00
"Feb 16, 2018",1373.16,1558.66,1369.68,1552.2,961010000.00,23302000000.00
"Feb 15, 2018",1358.65,1400.71,1330.18,1375.81,502454000.00,23053300000.00
"Feb 14, 2018",1229.18,1384.06,1229.18,1362.27,629852000.00,20854300000.00
"Feb 13, 2018",1285.23,1289.42,1205.73,1231.98,442663000.00,21803000000.00
"Feb 12, 2018",1222.43,1302.66,1222.43,1283.91,466213000.00,20735400000.00
"Feb 11, 2018",1255.59,1306.2,1197.87,1217.64,651555000.00,21295600000.00
"Feb 10, 2018",1311.99,1394.81,1215.72,1257.31,734606000.00,22249700000.00
"Feb 09, 2018",1273.87,1342.41,1206.39,1312.11,1133760000.00,21601200000.00
"Feb 08, 2018",951.57,1345.2,951.57,1284.56,2203710000.00,16133900000.00
"Feb 07, 2018",971.08,1040.49,902.49,957.96,866222000.00,16462900000.00
"Feb 06, 2018",890.97,978.91,764.02,974.52,777420000.00,15103100000.00
"Feb 05, 2018",1159.89,1172.7,839.95,887.41,568117000.00,19659800000.00
"Feb 04, 2018",1273.17,1286.98,1101.31,1165.38,656034000.00,21577500000.00
"Feb 03, 2018",1194.23,1314.43,1072.83,1272.5,453101000.00,20237400000.00
"Feb 02, 2018",1272.5,1272.5,980.78,1191.14,896666000.00,21561700000.00
"Feb 01, 2018",1491.12,1503.3,1214.88,1274.35,678020000.00,25263200000.00
"Jan 31, 2018",1470.74,1522.87,1406.25,1486.89,729209000.00,24915700000.00
"Jan 30, 2018",1657.69,1662.07,1468.17,1470.55,649823000.00,28079700000.00
"Jan 29, 2018",1745.36,1763.24,1638.33,1657.14,362213000.00,29561500000.00
"Jan 28, 2018",1636.41,1762.34,1636.41,1746.25,580544000.00,27713300000.00
"Jan 27, 2018",1602.5,1665.81,1567.78,1628.63,441742000.00,27136100000.00
"Jan 26, 2018",1637.19,1678.63,1500.37,1603.9,594667000.00,27720500000.00
"Jan 25, 2018",1661.04,1707.7,1611.04,1642.12,522194000.00,28121300000.00
"Jan 24, 2018",1622.15,1703.34,1575.42,1639.13,488161000.00,27460200000.00
"Jan 23, 2018",1623.14,1700.34,1504.72,1621.46,578984000.00,27473700000.00
"Jan 22, 2018",1794.46,1815.42,1525.5,1621.92,681350000.00,30370200000.00
"Jan 21, 2018",2033.7,2033.7,1733.99,1776.64,745179000.00,34415500000.00
"Jan 20, 2018",1784.26,2124.45,1780.45,2032.12,1116240000.00,30191500000.00
"Jan 19, 2018",1740.17,1870.78,1723.87,1769.62,743247000.00,29442200000.00
"Jan 18, 2018",1752.27,1893.47,1696.25,1756.75,1024060000.00,29643600000.00
"Jan 17, 2018",1767.58,1875.08,1361.02,1748.05,1457730000.00,29899500000.00
"Jan 16, 2018",2406.86,2406.86,1555.97,1772.07,1704030000.00,40708800000.00
"Jan 15, 2018",2541.58,2576.13,2328.31,2401.54,1412360000.00,42983500000.00
"Jan 14, 2018",2687.1,2746.61,2490.04,2553.32,993310000.00,45439500000.00
"Jan 13, 2018",2617.66,2850.27,2589.03,2685.29,1218570000.00,44260300000.00
"Jan 12, 2018",2475.9,2648.23,2413.33,2620.99,1110220000.00,41859100000.00
"Jan 11, 2018",2891.55,2976.49,2396.84,2462.61,1947950000.00,48880800000.00
"Jan 10, 2018",2390.02,2961.2,2332.48,2895.38,2578810000.00,40398000000.00
"Jan 09, 2018",2412.36,2502.87,2346.68,2391.56,1084750000.00,40770900000.00
"Jan 08, 2018",2786.6,2810.32,2275.07,2421.47,1428900000.00,47091600000.00
"Jan 07, 2018",2784.68,3071.16,2730.31,2786.88,1444780000.00,47054000000.00
"Jan 06, 2018",2583.71,2829.69,2481.36,2786.65,1669160000.00,43653200000.00
"Jan 05, 2018",2400.74,2648.32,2370.59,2584.48,2115710000.00,40557600000.00
"Jan 04, 2018",2608.87,2610.2,2359.3,2430.18,5377260000.00,44069100000.00
"Jan 03, 2018",2700.55,2958.47,2592.56,2608.69,4688840000.00,45613300000.00
"Jan 02, 2018",2434.5,2867.14,2434.5,2711,1831230000.00,41114800000.00
"Jan 01, 2018",2534.82,2534.86,2389.52,2432.54,922813000.00,42804800000.00
"Dec 31, 2017",2376.96,2627.95,2350.03,2533.01,1300820000.00,40134900000.00
"Dec 30, 2017",2791.55,2791.55,2329.47,2392.41,1257760000.00,47129800000.00
"Dec 29, 2017",2587.3,2922.41,2389.04,2779.95,2479420000.00,43677000000.00
